evidence_id,date,source_id,finding,relevance,decision_reference
EVD-01,2026-02-13,SRC-01,"rmcp v0.15 provides #[tool] proc macros that auto-generate JSON Schema from Rust types via schemars. Dependency overlap with kasmos: serde, serde_json, thiserror, tokio, async-trait, tracing, chrono.",MCP SDK selection,Decision 1
EVD-02,2026-02-13,SRC-02,"rmcp has 3k stars, 460 forks, at version 0.15 with frequent releases. Alternative rust-mcp-sdk at v0.8.3 has lower adoption.",SDK maturity comparison,Decision 1
EVD-03,2026-02-13,SRC-03,"OpenCode kas profile configures zellij MCP as type:local with command array. Same pattern needed for kasmos serve.",Transport compatibility,Decision 2
EVD-04,2026-02-13,SRC-04,"kasmos Cargo.toml already includes all rmcp core dependencies. Only rmcp itself and schemars need adding.",Dependency impact assessment,Decision 1
EVD-05,2026-02-13,SRC-05,"Zellij swap_tiled_layout supports max_panes/min_panes/exact_panes constraints. Commands in swap layouts are positioning hints only (won't create/close panes).",Layout architecture,Decision 3
EVD-06,2026-02-13,SRC-06,"layout.rs LayoutGenerator uses kdl v6.5 with grid_dimensions() and zjstatus theme generation. generate_wave_tab() pattern already creates per-wave tab layouts.",Code reuse for layout generation,Decision 3
EVD-07,2026-02-13,SRC-07,"Zellij 0.43.1 supports: new-tab --layout --name, new-pane --name --cwd --, close-pane, rename-pane, dump-layout, remote --session control.",Zellij CLI capabilities,Decision 10
EVD-08,2026-02-13,SRC-08,"zellij-pane-tracker run_in_pane uses focus-cycling + ASCII byte injection + 200ms delay. No completion detection. Focus-cycling is visible to user.",Communication mechanism analysis,Decision 4 & 5
EVD-09,2026-02-13,SRC-09,"MCP server is ~800 lines TypeScript, well-structured with clear tool definitions. Missing: close_pane, rename_pane, list_tabs, concurrency lock.",MCP server extensibility,Decision 4
EVD-10,2026-02-13,SRC-10,"Spec defines FR-026 (log to message-log) and FR-027 (persist audit log). WP entity uses task file lanes as SSOT. FR-028-031 define per-role context profiles.",Spec requirements alignment,Decisions 5-9
EVD-11,2026-02-13,SRC-11,"51 source files analyzed. 12 KEEP (~3350 LOC), 4 ADAPT (~2400), 5 UNWIRE (~2000+), 11 REPLACE (~6600+). Engine.rs 1460 lines of reusable wave/dep/capacity algorithms.",Codebase reuse assessment,Decision 6
EVD-12,2026-02-13,SRC-12,"Agent instruction files define 4 roles: controller (spec lifecycle), coder (implement+verify), reviewer (4-layer analysis, READ-ONLY), release (merge/finalize).",Agent architecture input,Decision 7
EVD-13,2026-02-13,SRC-08,"/tmp/zj-pane-names.json is hardcoded global path (not per-session). Multiple sessions overwrite each other. Non-atomic writes (truncate + write).",Multi-session risk,Risk 2
EVD-14,2026-02-13,SRC-08,"Concurrent MCP calls to dump_pane/run_in_pane will race on focus-cycling navigation. No locking mechanism in current implementation.",Concurrency risk,Risk 1
